conversation_id,utterance_id,channel,is_final,offset_ms,duration_ms,audio_finish_time,received_at,latency_seconds,confidence,transcript_text,word_count,anomaly,received_dt,conversation_date,hour_of_day,day_of_week
add7bbab-c67c-49b0-b60e-499364a2ef0f,f84373ba-1ede-43d0-b5d0-719db65e98ae,INTERNAL,True,7320,3824,1759452667.110941,1759452668.467197,1.3562560081481934,0.9786000000000001,good afternoon thank you for calling grainger megan speaking how can i help you today,15,normal,2025-10-03 00:51:08.467196941+00:00,2025-10-03,0,Friday
add7bbab-c67c-49b0-b60e-499364a2ef0f,e3a551e2-cb54-45c0-b5fc-6b094d233d06,INTERNAL,True,16674,1530,1759452674.1709409,1759452674.520077,0.3491361141204834,0.855,fantastic lisa how's your night going,6,normal,2025-10-03 00:51:14.520076989+00:00,2025-10-03,0,Friday
add7bbab-c67c-49b0-b60e-499364a2ef0f,400e0264-17de-4921-9f41-da0ae6179e35,EXTERNAL,True,12219,3683,1759452671.8689408,1759452676.90681,5.037869215011597,0.9506666666666667,hi there this is lisa coleman calling from us how are you,12,high,2025-10-03 00:51:16.906810045+00:00,2025-10-03,0,Friday
add7bbab-c67c-49b0-b60e-499364a2ef0f,b97ca4f1-4c19-4ae4-84e8-c38ba400be67,INTERNAL,True,21871,185,1759452678.0229409,1759452678.245606,0.22266507148742676,0.879,click,1,normal,2025-10-03 00:51:18.245605946+00:00,2025-10-03,0,Friday
add7bbab-c67c-49b0-b60e-499364a2ef0f,7bb1feb8-7a07-448a-9e45-de5c8902f0d6,EXTERNAL,True,19439,6242,1759452681.6479409,1759452682.7278469,1.0799059867858887,0.9897894736842106,it's going as well thank you i'm calling because one of my orders i need to see about returning,19,normal,2025-10-03 00:51:22.727846861+00:00,2025-10-03,0,Friday
add7bbab-c67c-49b0-b60e-499364a2ef0f,b3f84501-24d4-4fa3-bbac-4cb5171471b4,INTERNAL,True,26577,4006,1759452686.5499408,1759452687.407367,0.8574261665344238,0.9620476190476192,oh yeah yeah i'm happy to help with that do you have that order number i'll get it pulled right up,21,normal,2025-10-03 00:51:27.407366991+00:00,2025-10-03,0,Friday
add7bbab-c67c-49b0-b60e-499364a2ef0f,cae8f519-92e7-46ca-8d5a-859c8ba0ae56,EXTERNAL,True,32179,2371,1759452690.5169408,1759452691.299795,0.7828540802001953,0.9512,yeah let me go back,5,normal,2025-10-03 00:51:31.299794912+00:00,2025-10-03,0,Friday
add7bbab-c67c-49b0-b60e-499364a2ef0f,cae35ae1-2aca-4381-9464-3eee73f1211b,INTERNAL,True,35917,2131,1759452694.014941,1759452695.305475,1.2905340194702148,0.9342727272727274,i can work it with your po two if that's easier,11,normal,2025-10-03 00:51:35.305474997+00:00,2025-10-03,0,Friday
add7bbab-c67c-49b0-b60e-499364a2ef0f,9ed8f880-12db-4b1d-8572-4f313b2bf4a1,EXTERNAL,True,40617,4984,1759452701.567941,1759452702.3885179,0.8205769062042236,0.9686923076923077,sure p o c p one two four five five five two three,13,normal,2025-10-03 00:51:42.388517857+00:00,2025-10-03,0,Friday
add7bbab-c67c-49b0-b60e-499364a2ef0f,fa0999ca-4e7a-426f-88af-b8b8bb631638,INTERNAL,True,47299,3343,1759452706.6089408,1759452707.398237,0.7892961502075195,0.9601666666666665,perfect c p one two four five five five two three perfect,12,normal,2025-10-03 00:51:47.398236990+00:00,2025-10-03,0,Friday
add7bbab-c67c-49b0-b60e-499364a2ef0f,fed019b6-7659-49b4-b7db-4136aa6f2808,INTERNAL,True,53759,314,1759452710.0399408,1759452711.280333,1.2403922080993652,0.9975,one moment,2,normal,2025-10-03 00:51:51.280333042+00:00,2025-10-03,0,Friday
add7bbab-c67c-49b0-b60e-499364a2ef0f,7671740d-2232-40f1-9236-51488a9c9735,INTERNAL,True,56959,5763,1759452718.6889408,1759452719.4806862,0.7917454242706299,0.9356000000000002,and my apologies that was c as in charlie p as in papa one two four five five two three,20,normal,2025-10-03 00:51:59.480686188+00:00,2025-10-03,0,Friday
add7bbab-c67c-49b0-b60e-499364a2ef0f,ab8eb94e-5282-47f9-a07e-6d9329b43a2b,EXTERNAL,True,64359,2803,1759452723.1289408,1759452723.3462799,0.21733903884887695,0.9913333333333334,yeah one two four five five five two three,9,normal,2025-10-03 00:52:03.346279860+00:00,2025-10-03,0,Friday
add7bbab-c67c-49b0-b60e-499364a2ef0f,98c880f7-1f2c-40a0-a887-fe2085523f4c,INTERNAL,True,68839,1743,1759452726.548941,1759452727.404566,0.8556251525878906,0.9288000000000001,one moment my sincere apologies,5,normal,2025-10-03 00:52:07.404566050+00:00,2025-10-03,0,Friday
add7bbab-c67c-49b0-b60e-499364a2ef0f,6c32372e-1db2-49a5-a5ec-4aeb9fac7269,EXTERNAL,True,75840,2002,1759452733.808941,1759452734.318773,0.5098321437835693,0.890125,do you want your order number it's okay,8,normal,2025-10-03 00:52:14.318773031+00:00,2025-10-03,0,Friday
add7bbab-c67c-49b0-b60e-499364a2ef0f,430ee1ce-e142-4a98-a186-f11814639dfe,INTERNAL,True,74339,3824,1759452734.129941,1759452735.6624908,1.5325498580932617,0.9786250000000001,okay i do apologize yeah i'm so sorry,8,normal,2025-10-03 00:52:15.662490845+00:00,2025-10-03,0,Friday
add7bbab-c67c-49b0-b60e-499364a2ef0f,1f74505f-b6fb-4663-955b-8e2b73b11920,EXTERNAL,True,79260,5341,1759452740.567941,1759452741.677855,1.1099140644073486,0.9964285714285716,no problem order number one five five nine seven one seven seven zero four,14,normal,2025-10-03 00:52:21.677855015+00:00,2025-10-03,0,Friday
add7bbab-c67c-49b0-b60e-499364a2ef0f,b40bbba8-5116-4e3d-b52e-48a5e6a870eb,INTERNAL,True,86259,12621,1759452754.846941,1759452755.934178,1.0872371196746826,0.9780277777777777,perfect one five five nine seven one seven seven zero four there we go okay i got you right here and it's the plant maintenance account excellent alright and what was the problem with this order,36,normal,2025-10-03 00:52:35.934178114+00:00,2025-10-03,0,Friday
